Comune,Provincia,Regione,Codice isil,Denominazione,Tipologia funzionale,Denominazione ente,Tipologia amministrativa
6043,6,1,IT-AL0027,Biblioteca civica,Pubblica,Comune di Cassine,Comune
6046,6,1,IT-AL0029,Biblioteca civica,Pubblica,Comune di Castellar Guidobono,Comune
6047,6,1,IT-AL0030,Biblioteca civica Francesco Poggio,Pubblica,Comune di Castellazzo Bormida,Comune
6049,6,1,IT-AL0031,Biblioteca civica,Pubblica,Comune di Castelletto d'Orba,Comune
6052,6,1,IT-AL0032,Biblioteca civica,Pubblica,Comune di Castelnuovo Bormida,Comune
6053,6,1,IT-AL0033,Biblioteca civica Pier Angelo Soldini,Pubblica,Comune di Castelnuovo Scrivia,Comune
6054,6,1,IT-AL0034,Biblioteca civica,Pubblica,Comune di Castelspina,Comune
6056,6,1,IT-AL0036,Biblioteca civica,Pubblica,Comune di Cella Monte,Comune
6057,6,1,IT-AL0037,Biblioteca civica,Pubblica,Comune di Cereseto,Comune
6061,6,1,IT-AL0038,Biblioteca civica,Pubblica,Comune di Conzano,Comune
6073,6,1,IT-AL0039,Biblioteca civica,Pubblica,Comune di Frassineto Po,Comune
6075,6,1,IT-AL0040,Biblioteca civica,Pubblica,Comune di Frugarolo,Comune
6076,6,1,IT-AL0041,Biblioteca civica,Pubblica,Comune di Fubine,Comune
6077,6,1,IT-AL0042,Biblioteca civica Giovanni Canna,Pubblica,Comune di Gabiano,Comune
6081,6,1,IT-AL0046,Biblioteca civica Giuseppe Boffito,Pubblica,Comune di Gavi,Comune
6082,6,1,IT-AL0047,Biblioteca civica,Pubblica,Comune di Giarole,Comune
6094,6,1,IT-AL0048,Biblioteca civica,Pubblica,Comune di Mirabello Monferrato,Comune
6095,6,1,IT-AL0049,Biblioteca del Santuario di Nostra Signora delle Rocche,Specializzata,Passionisti. Santuario di Nostra Signora delle Rocche,Enti ecclesiastici
6095,6,1,IT-AL0050,Biblioteca civica,Pubblica,Comune di Molare,Comune
6104,6,1,IT-AL0053,Biblioteca civica,Pubblica,Comune di Montaldo Bormida,Comune
6106,6,1,IT-AL0054,Biblioteca civica,Pubblica,Comune di Montechiaro d'Acqui,Comune
